,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
703,Indian National Congress - INC,9,Gulbarga(5),RADHAKRISHNA,652321,27205,Karnataka
704,Indian National Congress - INC,9,Raichur(6),G. KUMAR NAIK.,670966,79781,Karnataka
705,Indian National Congress - INC,9,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875,Karnataka
706,Indian National Congress - INC,9,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357,Karnataka
707,Indian National Congress - INC,9,Bellary(9),E. TUKARAM,730845,98992,Karnataka
708,Indian National Congress - INC,9,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094,Karnataka
709,Indian National Congress - INC,9,Hassan(16),SHREYAS. M. PATEL,672988,42649,Karnataka
710,Indian National Congress - INC,9,Chamarajanagar(22),SUNIL BOSE,751671,188706,Karnataka
711,Indian National Congress - INC,9,Mandya(20),H.D. KUMARASWAMY,851881,284620,Karnataka
712,Indian National Congress - INC,9,Kolar(28),M. MALLESH BABU,691481,71388,Karnataka
713,Janata Dal  (Secular) - JD(S),2,Belgaum(2),JAGADISH SHETTAR,762029,178437,Karnataka
714,Janata Dal  (Secular) - JD(S),2,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,Karnataka
715,Janata Dal  (Secular) - JD(S),2,Bijapur(4),RAMESH JIGAJINAGI,672781,77229,Karnataka
716,Janata Dal  (Secular) - JD(S),2,Haveri(10),BASAVARAJ BOMMAI,705538,43513,Karnataka
717,Janata Dal  (Secular) - JD(S),2,Dharwad(11),PRALHAD JOSHI,716231,97324,Karnataka
718,Janata Dal  (Secular) - JD(S),2,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428,Karnataka
719,Janata Dal  (Secular) - JD(S),2,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715,Karnataka
720,Janata Dal  (Secular) - JD(S),2,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175,Karnataka
721,Janata Dal  (Secular) - JD(S),2,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208,Karnataka
722,Janata Dal  (Secular) - JD(S),2,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121,Karnataka
723,Janata Dal  (Secular) - JD(S),2,Tumkur(19),V. SOMANNA,720946,175594,Karnataka
724,Janata Dal  (Secular) - JD(S),2,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,Karnataka
725,Janata Dal  (Secular) - JD(S),2,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647,Karnataka
726,Janata Dal  (Secular) - JD(S),2,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476,Karnataka
727,Janata Dal  (Secular) - JD(S),2,Bangalore central(25),P C MOHAN,658915,32707,Karnataka
728,Janata Dal  (Secular) - JD(S),2,Bangalore South(26),TEJASVI SURYA,750830,277083,Karnataka
729,Janata Dal  (Secular) - JD(S),2,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460,Karnataka
730,Janata Dal  (Secular) - JD(S),2,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834,Karnataka
731,Janata Dal  (Secular) - JD(S),2,Gulbarga(5),RADHAKRISHNA,652321,27205,Karnataka
732,Janata Dal  (Secular) - JD(S),2,Raichur(6),G. KUMAR NAIK.,670966,79781,Karnataka
733,Janata Dal  (Secular) - JD(S),2,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875,Karnataka
734,Janata Dal  (Secular) - JD(S),2,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357,Karnataka
735,Janata Dal  (Secular) - JD(S),2,Bellary(9),E. TUKARAM,730845,98992,Karnataka
